COURSE, STUDENT-ID, LASTNAME, FIRSTNAME, ANSWERS, LETTER-GRADE, CORRECT-COUNT, INCORRECT-COUNT, BLANK-COUNT, TOTAL-POINTS
CS-250, 11228, HMJQPEP, VRXLTIBTG, AACBBCBABBCABBAABBACCCCBABACACCCAAAAAACBBBACCBAAAABCBCBCACACCBACCACBACCCCCBACBBCCAAABCACBCCABCACBCAA, D, 30, 70, 0, 60
CS-250, 23335, JNLCKPNMD, VAUPBW, ACAAACCCACAABBBCAACBACACAABCBBBBACBCCCACBBCBAACAAACBBBBCBCCBACCACCABBCABAABAACCABACACACABCABCCBACABC, A, 40, 60, 0, 90
CS-250, 24882, DNKVCT, KVMDPWSK, CA BACCACABBBBAACCABACBAABCACCBAABCABA BCCCBCCBACBBBBACCAACCCBABABBCACCBBCABCACACCBCACCAACCCBAABCACC, F, 26, 72, 2, 50
CS-250, 36758, XNDWEIVF, RUPMRSTS, CCACB AAACBABCBACCB BCABACBAA CAABCCB AABACBABABCCACBCBBBABBBAACAC C CAACBACCBB CCBABACBABACACCBCBCA, B, 35, 58, 7, 80
CS-250, 39262, OPFNWXLT, HBGKHCJ, CBCA BC CB ACA CBBCAABBCBBCBCCBAABCCCBCCCABBBACCCCBCBC CBCCBBCABBBBBCCBACABBCABA BABAAABBAAAB BCBCAC, C, 32, 61, 7, 71
CS-250, 41383, EEIIW, KKKUJS,  ACAB AABBCA BAACCA A B ACBBCBAAAA C B A AABACAABBCA A CBACCAABA CCCBA AACCBAAACCCC  BCCCCCAAABBCBCB, D, 24, 60, 16, 56
CS-250, 13283, SQITM, TQOVI, CAA ABBBACBAABBBBBC BCBAACBCCABCCACACAACAABCA BCCCA CACCBBABBAB BB ABBACBCBACACBAACBCABCACCBABABABBC, A, 39, 55, 6, 91
CS-250, 39054, WIILHIK, DEUXRF, BCABBABBAA CCAB BBB AC A B BBAC CABBAACBCBCAC ABBCBACC BA C CB BBBBAACACCA  BAAABABAA ABBCAC  CBCB A, A, 33, 49, 18, 85
CS-250, 22055, KFNIPV, IQPJHRD, ABBABCCACBBBBBACACAACAAAABCAABACACBACAACABABCAABACBAACACCCBBACCAABBBBBCCBABCCAAAABABACAABCBBCACAACBC, B, 35, 65, 0, 75
CS-250, 32738, ECRDSAV, NKCHBWWQB, A CAA ABACCBBABCBBCCACB AABBCBABBBACBCBAACCCBAABACAACCACABBCAABCCCBCA CABBCAACAACCAAAABCACAAAACBAC A, B, 35, 60, 5, 80
CS-250, 35036, LXPVF, GAEEH, CC BBBAAACABAABCCCCABAABAAACACAABBB BCCCCBCCBBCCBCCA ABCBAACCCACACCBABAAAAABBCAB CBAAABCABABBBAACAAB, F, 26, 70, 4, 52
CS-250, 12885, RRVMCPUFN, IGFBS, C AABCCCCAABAAACCACCACCCABCAC BABAABCBAAACBACBBBACABCB ACCBCABCCCCCCCAA CCACCBBA ABCABA C AAABAB CBB, F, 18, 74, 8, 30
CS-250, 35789, QUBSD, XIIWNC, BBCCABB A BACABCACBBCBCCAACACCABAACCACAACACCCACCCBABCABAABCAACB CCBCBBCAACBBBCAB  AACACCBBCBBBCCCBAB, C, 32, 63, 5, 71
CS-250, 27892, BLXIBNDF, JPWASH, ACAAACCBBBABCCAABACBACCBBBAAABBBBCABACBCBCAACBAABABBBBCAAAACCBBBACCBBBBCCCCABCBACABACCCBAACCBAAACABC, D, 29, 71, 0, 57
CS-250, 36611, KCNUA, OIQTXJ, CCA BBCBB ABABABCBAB BCAAABB CBAA AA A C AB CBBCC CAACBCCABCCBC CAABBCA A AAABCACACAB AC BCCB BBAA A, F, 18, 65, 17, 39
CS-250, 40789, EIDAESO, KUPFPFRIH, BAACABBCACB AABCC CAAACAACA BAA BAAACAC BA BCBBCAACCBABBC ACABCABCBBCB BACCAAA AA CACBCCBBA B ABA  A, C, 30, 56, 14, 72
CS-250, 37659, BQUCL, WMBPIBSCK, AABABCA B BBBCACBBC ACAABBA BCBACACABAB BCBC CAABBABBACABABBABCABAAA AAAAAAC BABBCCBCCCABBBACAA BCBC, D, 27, 64, 9, 58
CS-250, 12464, QCJWRQION, JWAFSB, CB  ABABACBCBAACABBBCABCBCCBACAABBAA AB ABACAABBABAACCCBABBBABBAAACCBB BCAAACBBBBABCABBCCBCBBBAB BAC, D, 29, 65, 6, 61
CS-250, 32003, AIITJRP, EUTQOH, CBABAABCBAAACAA AABA BBBBCACA BCBBB BBABACB CA ACC CA BBC AB A C C  BAACACCCCB BBA CBCBCBAACA BABB  , D, 25, 56, 19, 62
CS-250, 31479, PIVANMWIP, TJBJUA, ACBABBABBBCAAAAAAABACAABACABACAABBAACABCCCCCBCBBBCCCACCBCCBCBAAACBCCABACCBBCABBCCCCBAABBCAAABBACBCBB, F, 24, 76, 0, 42
CS-250, 38836, QQHXO, JDMGR, CCBABABBACBBAAB BCC B C BC ACBBBABBCBAB BAC ACA AACCBACCC CABBB CBB A ACBABACB  C BAC BA CCCBBBBCCBB, B, 30, 53, 17, 75
CS-250, 29300, MEHKE, RXFEN, CABB CAAC BCCC ABBC BBACAACACB CBBBBACBC BCAAACCBABBBAACCBCBBCCBA ABBBB BABCCAAACCCCBBBACAAA CAA  BA, A, 36, 53, 11, 87
CS-250, 32482, WHHVFC, JNFJQUHF, CAACACCCBB AABBCBA BAAAAABBBB A  CC AACCBABCAACAAAA A BBAC CAAAB CBACA BACCCCBAAABACBBAABCCCABCBCBAC, A, 37, 52, 11, 90
CS-250, 21091, HLDTFFML, KMFELRM, CB CBBAAABCCB ABCACB CAAAB CBCACCAAC CBCCC   BC CCCABBABBB AAAACBBAACAABCAA    BBBACACBACCCBAACAC BA, C, 28, 57, 15, 67
CS-250, 18633, SREJJ, QHXUJ,  CAAABACBAAACABBCBBCACCAACAACCBCBCACCBABBBABCCCBBABBACACABBAABACBACCBABCCCCAACBBBBCCBBAABBBCBACCBBCC, C, 34, 65, 1, 73
CS-250, 11974, EMACJLG, RIRXDGK, BCCABCBCACA BBB B ACBCCBA  BCBAACA BC CABACBABCABAAAC ACABAABBBC BBB BAAC CBC   BABBCB ABAC CBBA A C, D, 26, 56, 18, 64
CS-250, 41282, FXONJXA, JPCLORFHV,  BACBCABCCCCBCBCCBABBAAAA CCAABAABABBCBCAACACAAAABCAABABABBBCABBCABAABACAACBAACABAABBACBAACBCCBAAABB, C, 31, 67, 2, 65
CS-250, 33084, HSODFPPN, MLFNVTLJ, BAB BCCCBAAABAAACABACCBCBAAABCCB CABABBCCCACABACBAACCACACCACCCBCBBCA CAAAACBAABBBBACACABC BBBCCACA A, C, 32, 63, 5, 71
CS-250, 39619, QXONFK, FUVODB, B BBBBABBBBCBCBACCB BBCBA CBBCBBC CBBBBAA BAACB ACACCAABACBCCACABBCCACCCAAAC ACABBBCABBBAB BACACBBCB, F, 21, 71, 8, 39
CS-250, 38906, RNDQXAAI, VTQPB,  AABBAACBBBCBCAA   CBBCABBAC A CBBCCC CBCBB AB   BACBCAC  ACAAA BCBCACBB B AABAAA BACAC AC CACAC  AA, B, 31, 48, 21, 82
CS-250, 22758, TPQQU, ARSFWA, AB CAACCCACCCABBC BBBCAABBBAAAACACCC BBACACCCACC BBCBAACCBBB BABABBBACCACBB CCACCCBBABACABCCCCCABA C, D, 29, 64, 7, 62
CS-250, 16151, UDVMU, LUVTT, CABABBBCC ABBBAC BBBCAAB CAABB C  BBBCCBCAB BCCBBABCAB BABBCACA  BABAA CB ABCCCB CABABBBAABCA AC BAC, B, 31, 54, 15, 76
CS-250, 30094, BGVWA, XLAOKPB, CAABBBBCCBC CAAA BABACCC BACAAABCABCCAAC  CACBACCCBCBBCCAACAB CCBACB BCACA  A CACCACCB B CAAABBCAAAB, C, 29, 59, 12, 67
CS-250, 14074, NHOWNVC, QATBPNHQ,  BBBAABCCABCCAAC ACCBCBCACABCBCACBC CCB AA B CBCACABBACCAC CBBBABBBABCABABBAC ABCBCBBBA CB ACCACBBAA, C, 31, 59, 10, 71
CS-250, 15018, XBGEAS, ANGBG, BAABAB BCBCAABAA CBABACAACCABCABACBBBCCCAB CABBBAB BAAACABCBCB CBACACAACACBC  ACCCBBBBCBACCC CABC BB, C, 30, 61, 9, 67
CS-250, 29371, PKFOKTJJR, NVFFWKF, BCAC CCBCBCAC B BABCACACAAABBAA AAAA BABA BBBAAACAABCACBBBB BB B ACBCABCACAACAACCCCBBACACCACAB CABBC, B, 33, 57, 10, 77
CS-250, 37175, ORJMSCX, WBIIG, ABABBABABACA ABACBBABAC BBBBCC CCBA C ABBB A ACA ACBABC  BC  BBAABCABBCC CAACBBBBCCBCABBCCBC CCAAACC, B, 31, 55, 14, 75
CS-250, 22488, MJUUWNPF, CIPDCQK, CACAA ACB  ACCBABCCB  BCA CBABCCBCCCCBACBACAACCCA BABABAB C BBCBCCCBABCBCCBBCABC BBCCABAACBCCCAAA BA, B, 34, 55, 11, 81
CS-250, 15375, TLBUTRH, WKKJG, AABAB ABBBACBBBCCCABCBBC BA BBBCCCBABBABACBAACBBCCBABBBCBCAABABBABA BBAC CCCBBCBA BBCCAAAACBCBCBBA B, F, 23, 70, 7, 44
CS-250, 24995, KNPRSPWI, KMQSXVA, CCAAABABACBCBAABAAACBBBBBACCCCBAACBCCCACBABBCBBACBACABABACBBABABBCACCCCAABBBACCCBABBABABCBBCACBBABAB, F, 28, 72, 0, 54
CS-250, 37958, LRKAQV, PJKUQQEN, AACCBC CCBBBBAAAABBCCCCCA  BBCCABB   C CBAAC C AA CCA CB  B  BA BAB C CCCCACCABC BAACAC CCABCBCBBCAC, C, 28, 52, 20, 72
CS-250, 18199, SNBKWGOQ, THVKWXIFP, A ABABBBACACCCB ABBBCBBABAABBB BC ABACCCCBBACBABABBBABCAACCCAABBABCACB CBBCCABCCAAABABCAAAACBB ACBAA, B, 35, 59, 6, 79
CS-250, 35595, DHMGLJS, KTFTCV, CCCBB ACBCAAAAACAACCBAABAAAABBABABBBAB ABBCCAAB AACCABAACC CBCCBBAC AABCAAACCBBBBAAACCBCBCBBAACBCBAA, B, 34, 61, 5, 77
CS-250, 38158, VOASNFP, FAOOMOXWD, CCAAB BBCAACCCAB BBBAC BABBBBBCAAAAB  CABCBBACBCBACBAAB CCCCABCA B ABBACBACACBBAA BCBAA BCBBC  AAAC , C, 29, 58, 13, 68
CS-250, 11203, GDEMCIOIL, PQRJUKGSQ, BAAAAACBCA ACBBACCCC CBBAABCBCBC BA  BA  CBB CCCCB ABBABBABBCBCABABA ACBCBBACAA CBCCCCCBAAC BAC BABA, A, 37, 50, 13, 92
CS-250, 25213, PRLIQCRM, FQMCUT, CC AABCABAACACBCCABABC BBACCCBBCCACBCCCCBBBABCCAACBCBBBBCCCCCCCAACC CBCC BCABABABCBAACCAABACBCBAAABA, D, 27, 69, 4, 55
CS-250, 18402, ENTDA, GEWCN, ABCCACAACAC CAACAB ACAACBBACACACB BACBAACBCBCAABCACAABBB AACBCBCCCB BBA AA BC AAABCA A BAB  CC CBABC, C, 30, 57, 13, 71
CS-250, 19680, RIETBADW, ISQUGPP, CCCBB  AA CCBBABCAAAC BABBABACCCCCBBAB BBCBCBCABBBB CCACB BCBC ACB CB CCC CBBCBCBABCC BB BBCACC C BB, D, 25, 60, 15, 58
CS-250, 15091, ASHDMA, NHMDXTD, CCCABAACACACCAABBBAACAACACAABCBBCCAAAACBCBBAACAACCACBBBBACBBBBACCBAAACAAACBAACCBCACBBCCCABABCBBBBBCC, F, 28, 72, 0, 54
CS-250, 19963, MWGISVCJ, WLSQIEVJ,  ABBBABBBCABCCABABACACCBBBACBACCABBBBACACBCBBAABCAACBCAAACABABABBABCBAABBCCCBBAAABACCBBAAABCBACCBABA, A, 41, 58, 1, 94
CS-250, 12241, AKVVMNH, EBJXVAEOC, BACB BACCACB A ACCAAB CABAABBCBABCABCCCAABBCBCAABBB BCCBBBCCBABBCCABCAABABAAAB AC AAABACBACCBABCBCA , F, 26, 66, 8, 54
CS-250, 23626, ADRFU, RBENID, CCAAB CACBC BC BBCBABBCBBB ABBAAABCBBBAAACCAACBAABCBCABCBBCCBBABBABCCBACBBBCCACABBCC AABBBAABCAC CAA, C, 33, 61, 6, 73
CS-250, 27588, AQLGKRLO, EFAESG, ABABACBBABCA C CCA C C BBAACBCC BCBAABB ACABBAB BACCA CBABABAB BABC B AACAAACCACACBABCCCA BBACBCC CC, C, 28, 58, 14, 66
CS-250, 39499, RGNVA, HVOLKS, BAC AAACCAAAAAABAAAACA BAAAAAACACCBAACCBCBA BCCABBABCACCAACB A ABACCBAAABABAAB BC CBCCCA ABBCACBBCBC, D, 28, 64, 8, 60
CS-250, 24161, WUOSIROL, UPCLUKATC,  ABABCABABACBBAACCBAC CBBBABABCCABBBBCBCCCBCACCACCBCCABBAAABCCAC C BBBCAACB AA CCCABCABABACCACCCABAA, D, 29, 65, 6, 61
CS-250, 17317, OXAUU, WTDUKEF, CBA ABBBCBBCABACABABB CABABCBCCABBBBCBAABBCCCABAAABCBACBBABBCCACBCBCBAC ABABAABACAACC ACAAAAACACCAAA, A, 37, 59, 4, 85
CS-250, 37075, FUICS, GOGAOJOLE, CCBBBC ABBBCACBAA ABBBBBBCCABBBABAACCBCABAACACCACBACBCCAAAABBCAAB CCBBAA AABABBBBA CBBAABAACABAACBB , D, 27, 67, 6, 55
CS-250, 24766, BERAEGX, JKGQIHK, BBBCACA CBBCCB ABBCACBABAC ACA BBCBACAAAAABBCBCABBACCBACBBC A  C CC BC BBBCCABBC B ACCBBCCCCB ABCBAA, B, 34, 53, 13, 83
CS-250, 15178, HWKIPBK, ROMRXD, CABBACBBBABCBBAAABAABAAAABABACCBCCABCAABACCBCACBBBAAABCACACBBCCCABABACBAACCCCABCCBBCCABBCCCCCCACACAC, D, 30, 70, 0, 60
CS-250, 26294, WRINNBW, XMPBSRMN, BBBBACA CCCCAC AAC CB CCACA ABBABCCBAAAAABACBB AAABAB AB BCA AAAB CBCCAACBCACBBCB BCCCBCAB ACABAA CC, F, 20, 67, 13, 41
CS-250, 29725, LWVGVV, XBVKRNF, CAC AA BBB ABABBBBA BBBBBCB ABCABACABABACBBBACCBCBBB CCB BABABCABBBABCABBBCAAACCAAB CBAACCC AAC CABC, B, 35, 55, 10, 83
CS-250, 16921, CFSGTQPUC, HEEVWFW, CC AABCBBAA ABABBACAABCAACBCAC BBAC CAACABA BBCBBC CACBCAA C AC C AC CACB ACABABAAA BBCA ABA A    AB, C, 27, 54, 19, 68
CS-250, 15628, SMGTI, EBPIOKC, AAACBCBABAAAAB BCA CBAC AC ACAA  CBC BABCBAAA  CCBBACBAACACBBAABCBACBBABC ACA  CCAAAAACCCCCBBAC   CA, B, 31, 54, 15, 76
CS-250, 27431, UOWSWX, XDXSP, BBACBAABB CBAABABCB BCCAACCBBAAC ABAABCB CBC ACAABCCCABC ABBCBB BCBCABABAACAAAACAC CBBCC CBCBBAABCCC, D, 27, 64, 9, 58
CS-250, 16253, BEIRKT, FJQCCP, CAABAABACBBCCAAC BACBAA AC ACACAAA  BCC BB CCCB CAACCCCABCBA BA   BA CCBAAB  AABAC CCBCAA AACAABBAAA, B, 32, 51, 17, 81
CS-250, 15300, BNXCARCM, XMVFU, CACABCAACCC BBACBCABCAABBBCBA A CBBAAACBCCBAC  CBAC AA CA CCBBBAABCACAAAC BCB BBB ABBBAACBABAAAABAAC, D, 28, 61, 11, 63
CS-250, 37320, JDROT, SXIFUWUCO, BB CBBBB ACCCAAAABA CBAA BAABBACBACABABB ACBACAC BACACBCCBAAA ACCABACBBCCACA BCAAAACABAAACAAABAACCCB, C, 31, 61, 8, 69
CS-250, 24561, MLOFFXM, ORQVDQQQQ, AAAC ABC CBACBAAACBBCA BABBCCBBCCCBBBACCCBAABBBCAACBCAABBACBBBACCCAAAAA  BCACBCCBBCACBCABAAAACABAACA, A, 42, 53, 5, 101
CS-250, 10111, XOBIA, EKPBU, ACBAAA  AABBBBBACC BABCCAABBABAABCCCBCB BBBACCBCBA ABACACAAAABCBBBBAAAABBBCCBBBBABACB AB BBBBCACBAAA, B, 36, 57, 7, 83
CS-250, 20386, WJTOXVQPQ, MTXGQJX, BAACA BAACABCBBACACCCBCBACBCAAAA BCCABBBCABCBACACCCBABACAACABCCBBBCAB ACCBCACC BCAABBABBBCAAA ACCBBB, B, 34, 61, 5, 77
CS-250, 36780, QVAHJXW, SFSWGPQF,  C BAABACCACAAACAC   CACBCC CBCBBCCC BC BAA CCCBBCBBBCCAACBBBC CCBB  CC CABACABACBCCCCBC CA AC A BBB, C, 27, 56, 17, 66
CS-250, 26121, LGMXA, JAARVJGN, B ACBCB ABBBBBBC A AC CCBAABBCABAB A AACBBACBCCBCBACCBBCABBCCBABAABAABABCA CCCBBCBC AABBB AAABBB BCC, B, 33, 56, 11, 78
CS-250, 37970, STOILBML, ANIGMQMX, AACCA ABAACBBBBBBAAABCAAABCCBCAB BA AAA CBBCABAB CABAACBCACABBCBACAACBBACB CACABBCACBCAABABCBBBAABCC, B, 36, 58, 6, 82
CS-250, 12699, CCKAQFHNL, TORQRQF, BAABAABCBBBBCCABAAAAAAABBCBACBBCCACBAACCBBBCAABBBCBBABCBCBBCBBBACBACBBBCAABBCACBAAAABBCCBBBBACCCABAA, B, 38, 62, 0, 84
CS-250, 14317, ATLULU, MGXGPEJ, AAAB CBA CCAAAAC BB AAABACCCBC  C B AABB CBCACBBCA BCBC A CCBBBABBA CACACA ACACCCCCAACBBA BCACBABC B, D, 25, 59, 16, 59
CS-250, 32794, JGEAWRTJ, KKKLERLGL, ACCB AB BBCBBCACBABCAABAACBA ABBBB ABCAB AB BCC C C BACACCCBCACAC ACCCBCCABA BBCABCABCA  AC BAB B AB, F, 23, 61, 16, 53
CS-250, 40928, LEABRH, CDONMHES, CBAAB BCCABABAA BBCACAB BAAC CABCABCBACBCCBBABBCBBCCABCA BCAC CBA ACACBACCA CABBABCCCBCBBBBCBCCAC BC, B, 34, 57, 9, 79
CS-250, 34474, DJXOWMSQ, NVIIOOMWF, AACCAAC BCACC AB  ACABCBBA AABBCCAACCBAB BCA C CBBA BCBABBBCCBCACBBA CACBACCA   BBCABACCCACACCACAABB, D, 27, 60, 13, 62
CS-250, 32114, OKGWEM, ROUGKL,  BABAACBABCCCAABAAB BBACAB BAACAAAAACCABBBC BAC BAAC C B  BCAAB BB BAACACCBBBAACCCBBBACCAACBAAAAAACA, D, 26, 63, 11, 57
CS-250, 42426, GJEPHVQS, PGTLKMXX, CCCCABA CBACABAC CAC  AA BACAB  BCCBAA BBBC ABBCC  ACCBAAC B CAAAB  A CCCBAB AABC BCCCB BAC C BABAAC, D, 23, 56, 21, 58
CS-250, 40657, UNPQJDMJW, QVJTXTUI,  ABCABCBCBCBAB AAACACACCBBAAAACBACBBCBAAABC ABCC BCCACA C CCAACBABBBCBAACABABABCBACABBBAAABCBBAACBBA, D, 28, 66, 6, 58
CS-250, 18055, KOEBUWMMU, NCCNJMOV, CCBBACCC CBCBABCCCAAC BAA BCBAC ABCC ACA ABCAC BAACBCBAACBBA CB ABBBBBB AB BBCAAAA AACA CCBCAACCBAAC, B, 32, 55, 13, 77
CS-250, 18572, FTIAX, PCLBCE,  CBCBBCBABA CAABABCABBCAACBBCBBACACACABBABBBCBCCCCCBCCCCBABBABAA AACCACBACC BABCAACCBBBCCCA BABCBBAA, C, 30, 65, 5, 65
CS-250, 35080, MUAHJ, OQFXSAS, CCACACACBAACBAACBBACAABBBAABCCBAABBAACBABABACCBCBBBBABCABBABABCCBBBABBCABCCBBCBCBABCACCCBBCCBBABCCAA, D, 29, 71, 0, 57
CS-250, 20617, TGDLV, FPISISHE, ACC ABAB AACACBABBBBABCCBAAAAB B BACCCAABAABACA BBAACBACCCBBCB BCCABCCB BBBABCABACBBBACCCBACBACCCABA, B, 34, 59, 7, 77
CS-250, 36483, VANAIE, RUOUPSU, BA BBABCCC ACABBACCB B C ACCCCACCBBBCBBBCBABCBCCABAACCABC  C  A BCACCCACBACBACBBCBACB BBB BCBBBBCAAB, D, 28, 60, 12, 64
CS-250, 26303, ABDJHACMB, RIPSLUG, CCAAA CB C AABBBCCBBABBC BBBAAAACACACAC  BA C ABBCAB CBBCABAABBC CBCCB A CA AA C  B  CCCBCABAAABCBBB, D, 25, 57, 18, 61
CS-250, 18541, OALXWDX, TGSWEGBAA, CBBAAC AACACA BAA ABCCC  B CCBBBACCBAC  B BBBBB AAABBBBBCBAC ACBCBAABCCC A ACCBACABCB C CB C  AABCAB, D, 23, 59, 18, 55
CS-250, 34784, RLODXXVFX, WFXBRCABL, B BBBBACCBACAABCABAAABBAABAABBACCBCCB BACACCBBBCCCBBACABCCABAABAABBCACACBACCBBABBCACCACBABACBBAAACCC, D, 30, 68, 2, 62
CS-250, 37948, HQGGORFRG, VXLJM, A BAAAACBCBCCABCCCC BBABAAAACACCABBACCACCBCACCCAAAAACBCBCCAAABBCBAAACCCCACCCBCCBABBCCBABAAABCACBCCCC, D, 29, 69, 2, 59
CS-250, 16584, KXTOGIIBK, MHVOPTFT, CBAABBAACCCABCACC  C CCCBABCBBBCBCBAAAAB AC  ACBBBBA CB BAA C CCAACCA C C BCCACCA ACB  CBB AAABCBACB, D, 24, 59, 17, 57
CS-250, 16687, KWADTVSO, TJFWCNBI, C AABAC CBBAACBBCABBACBCA BACBCCCB   ABCABABBBAABBAAB BBA BBCBBC CACCAABCCACBABAC BCBABACBBAABBBCAB , B, 33, 56, 11, 78
CS-250, 42690, TTDTNVH, AUFWL, ACCAAB C AAABBBAABACC ABACABACAC AACAABBCC ABBC BCAAABAABBCCCBBACBACACBBCBCCCCAB BB CABBCBACBBCAABAB, B, 34, 58, 8, 78
CS-250, 34910, DPOHVQS, NWBEPTGX, AACBABAACAB ABAAAAA B C ABBBAA BCACA CABA  C C  B A  BCBCAACC CCCBAABC CC CAC BCB CCCAA BA AAB   CAA, D, 23, 53, 24, 61
CS-250, 14989, UAFQUURC, SGTICJDBC, CA CBBBA ACBACBBACC ABBBAAABAABBCCAACA ABBBCBBBBAACCABAABBCCBCCBBBAACBCBACAABABA BCACCAAAAABACCCCCCB, B, 34, 61, 5, 77
CS-250, 13130, QJCJH, OMLLMWU, BCABB ABAABBBAAB BBBBACBB CABCABBC AC  ACBCCA  ABAAB B B  AACC   ACB AC AC BACB  CABBBBB ACAAACCACBA, C, 27, 52, 21, 70
CS-250, 10964, GPGIXOWKP, OSGNRGFBT, BABBBBCBBCB AAABBABABBCA ACAA ABCACCBCCA CB A  CABCBCCBACAAABBABA CCB  CCA ACCCAABAABBB B  CBB A CA , D, 24, 59, 17, 57
CS-250, 11544, FQJVRAOD, DCEMJDF, CCBCACA BC  B AABBACBBB A CCBCC CCACA BC ABBAACBBCAA ACA A ABBBCACBBABCACBCAACBBAAB B CA A BA BBAABA, D, 26, 57, 17, 63
CS-250, 36638, GVCMQR, GRRUBRCJ, CA CACBBBCA ABBAABC ABABBAAACCAABCCCBCABCABCACCBCCBABCCACBBBBACCCAACCACBCBABCBAACCBAACAAACBCBBCABBCC, A, 39, 58, 3, 90
CS-250, 21989, VKTNQNR, WLRTNV, AABBACCBBBABBABABAABCACCBBBCBAABBACBBCCACCBCBBBBACCCCCCBCCBBBCCCABBCBABCABBCACCBBCCBBABCCBCCBBCCACBA, C, 32, 68, 0, 66
CS-250, 16732, CSLSM, ECFSMJ, ACC BACCCB AAAAA AACBAABABCCBACACABABCCBBAA BBCAACCAAABA CACCABACAACACCCBBBCCABCCAAAABCCCC BAACCBABB, F, 24, 70, 6, 46
CS-250, 24825, LFGAUHEG, LENNKLOQU, CAABABA CCCABC CCBA  BABAACCBCCBA CBBCC ACBAABCCCAA BCCAACAAAABA ACBCAABAB B CBB BCACCCBACABCABCCC A, D, 25, 63, 12, 55
CS-250, 39115, NMAWU, EVRRD, CACBABBCAAB B BCB BBCCBBA ACCC CBABCA BABB A CCABACABA C CCBBBBB  BBBBB CACCBA BACB CCCCCBBCBBCCCCCC, A, 34, 51, 15, 85
CS-250, 31375, APTIAPLL, RVPLPA, BCC ACCA ACBAA  BC BBCAAB C ABCACC BACABABCBBAC  CCBBBCBACAABCBBABCBCBBABAABBA BACC A BBA ACACB BCCC, C, 28, 57, 15, 67
CS-250, 25406, PTPKNDSFE, GIDSS, CC BACBBAAACBBBBCCA ABBABABABCBABCACBBABCBCBACBBCACAAACBAAB ABCC  CCACCB BCBAAABBCC CBCCBBCBBACCBBAB, C, 30, 63, 7, 65
CS-250, 14834, EIUBCWSAM, QKWUH, CCBABCBA  ACCABABABCBABB BCB BCAB AACBBCCAB CAAA CBCBCBBAABCCC ACCACACAABCAABC BAACBBCB  CBCB BAACBB, D, 28, 60, 12, 64
CS-250, 18024, PPAWUBU, RJNHXIV, BBBCAC AACBACBBCAAACBACB    CCABBCCCAACACBCBAACCCBABBBBBAC CBBBCABABBCCBBABBAB AAABCCCCACABBABBACCBB, D, 29, 64, 7, 62
